-79,210,-485,652
-78,208,-481,638
-80,208,-482,643
-80,210,-482,654
-78,208,-483,655
-78,209,-484,661
-80,207,-483,638
-78,204,-483,643
-80,208,-481,664
-80,209,-482,659
-81,206,-480,641
-77,206,-481,649
-79,208,-484,667
-78,209,-482,643
-81,209,-483,667
-80,210,-481,655
-79,205,-483,643
-81,207,-482,653
-85,208,-480,652
-82,203,-485,640
-83,206,-482,663
-82,204,-481,655
-82,205,-484,641
-82,205,-484,665
-84,204,-484,643
-82,206,-484,663
-84,205,-481,658
-84,204,-482,643
-85,203,-486,646
-86,201,-485,662
-87,200,-483,639
-85,205,-486,651
-90,200,-485,668
-86,202,-486,667
-89,201,-483,650
-86,201,-490,652
-86,204,-486,646
-87,202,-485,666
-88,202,-486,643
-88,202,-485,655
-85,201,-487,667
-88,201,-486,648
-87,202,-488,657
-88,203,-487,657
-92,204,-484,647
-88,199,-484,640
-89,203,-486,663
-88,202,-486,647
-90,198,-487,664
-86,201,-485,650
-87,199,-487,642
-92,201,-487,642
-89,201,-484,668
-89,199,-486,660
-88,202,-484,657
-88,200,-487,640
-87,199,-484,658
-88,200,-487,667
-89,202,-484,665
-89,201,-484,659
-89,203,-482,645
-89,200,-487,649
-89,198,-486,669
-88,204,-488,652
-86,202,-486,647
-86,202,-488,664
-88,202,-486,662
-84,202,-485,647
-89,201,-484,644
-84,201,-487,647
-88,202,-484,646
-88,203,-485,665
-87,205,-483,663
-84,203,-484,659
-84,202,-484,645
-84,206,-485,662
-84,206,-485,664
-82,208,-483,653
-80,214,-479,640
-77,214,-481,667
-76,235,-465,646
-99,248,-446,639
-135,223,-428,627
-150,157,-440,611
-134,123,-452,620
-105,101,-463,627
-69,102,-482,640
-50,149,-487,660
-56,179,-482,672
-71,191,-482,657
-79,195,-482,659
-83,197,-483,673
-87,199,-485,646
-84,198,-485,658
-86,199,-485,672
-86,200,-486,655
-86,199,-482,660
-89,201,-484,666
-86,195,-489,653
-88,197,-485,645
-89,201,-485,652
-89,199,-486,676
-88,200,-485,667
-90,199,-485,652
-87,203,-486,675
-83,202,-485,663
-86,203,-483,674
-89,202,-486,661
-87,199,-485,653
-85,201,-484,669
-88,200,-486,665
-85,199,-486,652
-86,199,-481,659
-88,198,-486,660
-85,203,-485,644
-87,201,-487,659
-90,202,-482,664
-84,200,-486,651
-88,202,-484,671
-88,202,-484,664
-85,200,-486,642
-85,198,-485,655
-88,200,-485,663
-85,197,-484,644
-86,200,-485,643
-88,200,-483,657
-89,200,-485,645
-86,200,-483,642
-85,201,-486,647
-87,200,-482,657
-85,201,-487,617
-88,199,-486,625
-86,197,-486,621
-89,199,-483,601
-85,201,-
